species_id;sex;hindfoot_length;weight
OT;F;21;22
OT;F;20;21
DM;M;37;53
PF;F;15;8
OT;M;18;25
DM;M;35;43
DM;F;35;43
OL;M;21;38
DM;F;35;42
OT;M;21;26
DS;F;50;146
OT;F;20;25
PE;M;20;28
PF;M;15;8
DS;M;49;122
DS;M;52;137
DS;M;49;131
DS;F;49;125
DM;M;35;43
DS;F;48;141
DS;M;53;138
DM;M;36;43
DS;F;50;124
DM;F;37;43
DM;F;37;45
DM;M;36;46
DM;F;36;43
DM;M;37;49
DM;M;35;47
OT;M;20;26
DS;M;49;152
DM;F;37;44
DM;M;36;48
OT;M;15;29
DM;M;36;49
DM;M;35;45
DO;M;35;57
DS;F;47;134
DM;F;37;44
OT;F;16;35
DM;M;37;48
DM;M;36;46
DS;F;47;110
DM;M;37;26
DM;M;35;44
DM;M;37;48
DM;M;36;39
DM;M;37;44
DM;M;37;45
OT;M;20;27
DM;M;36;36
DM;F;37;45
DM;M;37;47
DS;F;47;90
DM;M;39;49
DS;M;52;131
DS;F;50;114
DM;M;36;42
DS;M;52;148
DS;F;50;76
DS;M;53;141
DM;F;34;42
DS;F;49;121
DM;M;35;44
DO;F;33;55
DS;M;50;133
DS;M;50;142
DS;F;48;142
DM;F;36;46
DM;F;35;50
DS;F;46;142
DS;F;48;84
DM;M;34;42
DS;F;47;142
DS;F;47;118
DM;F;35;43
DS;F;51;132
DS;F;47;75
DS;M;55;168
DM;F;38;43
DS;F;46;84
DS;F;49;87
DM;F;35;42
DM;F;34;41
DS;F;48;140
DM;F;33;40
DM;M;38;45
OT;M;20;18
DM;M;36;47
DS;M;48;89
DM;M;38;51
PF;M;14;8
DM;M;38;47
DS;M;53;149
DS;F;49;124
DS;F;48;73
DM;M;37;48
DS;M;51;139
DM;M;37;41
DM;F;38;41
DS;F;50;114
DS;F;46;59
NL;M;32;204
DM;M;35;45
NL;M;32;212
DM;M;36;43
DS;F;48;91
DS;M;46;50
DM;M;36;44
DS;F;49;113
DM;M;36;36
DM;F;37;50
OT;F;13;9
OL;F;19;29
DS;M;52;137
DS;M;48;57
DM;F;37;31
DM;F;37;41
DM;M;37;37
DS;F;50;83
NL;F;33;174
DS;F;49;116
DS;M;52;130
DM;M;37;40
NL;F;33;212
DM;M;36;41
DS;F;50;83
DM;F;35;41
DS;M;52;118
PM;F;20;22
DS;M;49;102
DM;M;36;42
DM;F;34;29
DM;M;34;23
DS;F;50;138
DS;M;49;131
DM;M;35;41
DS;F;50;115
DS;F;48;121
DM;F;35;38
DS;M;50;126
DS;F;50;120
PP;M;21;15
DM;F;35;29
DM;F;33;43
DM;M;37;41
DS;F;48;68
DS;F;52;97
DM;M;33;21
DM;M;34;21
DM;F;36;44
DO;M;33;18
DM;M;36;40
DM;F;37;41
DS;F;48;129
DM;M;37;42
OT;F;18;24
DS;F;50;108
DS;M;52;160
OT;F;21;30
DO;M;35;54
PF;F;15;7
DS;F;48;125
DS;M;50;100
DM;M;34;21
DM;M;37;49
DM;M;36;35
DO;M;35;37
DS;F;48;64
DS;M;48;54
DM;M;36;44
DS;F;46;90
DM;F;37;39
PP;F;20;13
DS;F;47;114
DM;M;38;46
DS;F;51;110
DS;M;51;119
DM;M;36;29
DM;M;32;48
DS;F;50;124
DS;F;49;84
DM;F;36;43
DM;F;33;43
DM;M;37;40
DS;F;49;120
DO;F;34;55
OL;F;21;29
DM;F;34;26
DS;F;52;115
DM;M;36;45
DS;M;47;70
DS;F;49;123
DM;F;33;16
DM;F;36;42
DS;F;47;125
DO;M;36;55
DS;F;47;117
DS;M;50;133
DM;M;36;36
DM;M;35;29
DS;F;49;99
PF;M;13;7
PF;M;15;8
NL;F;32;135
DS;F;47;100
DS;F;49;98
DM;F;35;43
PF;F;15;8
DO;M;34;23
OT;M;18;12
DS;M;51;124
PP;M;21;15
DS;F;51;84
DM;M;36;24
DS;M;50;122
PP;M;23;17
DM;M;38;46
DS;M;54;149
DM;F;33;23
PF;M;16;8
DS;F;48;136
DS;M;49;102
DS;F;51;122
DM;F;34;40
DS;F;46;71
DM;F;34;42
DS;M;53;160
DS;F;50;82
DS;M;54;134
DM;M;37;38
DM;F;37;40
DM;F;32;37
OT;F;20;29
DS;F;47;107
DS;M;52;100
DS;M;46;32
DO;M;35;38
DS;F;50;73
DS;F;49;119
DM;F;36;50
DM;M;36;43
DS;F;49;59
DM;M;38;48
DS;M;49;58
DM;M;37;41
DS;F;49;81
DS;M;50;93
DM;M;35;28
OL;M;22;44
OT;F;19;28
DM;F;36;24
NL;M;32;232
DS;F;51;127
PP;M;22;16
DM;F;38;44
DM;M;35;35
DM;M;31;17
DS;F;51;122
DS;M;52;122
DM;F;33;32
DM;F;37;48
DS;M;53;95
DM;M;37;45
DO;M;35;51
DM;M;36;47
DS;F;50;119
DS;F;49;124
DS;F;51;87
DS;F;50;85
DM;M;37;36
DS;F;49;123
DS;F;50;111
DM;F;33;39
DM;M;35;27
DS;F;52;105
DS;M;51;132
DM;F;36;45
DS;F;51;96
DM;F;35;40
DS;F;48;120
DM;M;37;43
DM;F;38;46
DM;F;37;43
DS;F;49;86
PF;M;16;8
DM;M;37;34
DS;M;52;106
OT;F;19;22
OL;F;20;29
DS;F;50;98
DO;M;35;33
DM;M;38;46
PP;F;21;12
DS;M;50;130
PP;F;23;10
DS;M;50;106
DM;F;36;39
NL;M;33;113
DM;F;38;45
NL;F;34;115
DM;F;36;36
DM;M;36;24
DS;F;51;120
NL;M;34;190
PP;M;23;10
DM;M;38;48
DM;F;35;29
DS;F;51;131
DM;F;36;34
DS;M;51;101
DM;F;34;37
DM;F;36;47
DS;M;52;133
DS;M;51;63
DM;M;36;46
DS;F;49;81
DS;M;50;71
DS;F;49;80
DM;F;38;47
DS;F;51;118
DS;M;51;91
DS;F;49;120
PE;M;20;19
DM;M;37;45
PE;F;19;14
DS;F;51;122
DM;M;35;37
DM;F;35;36
DS;F;49;95
PP;M;22;18
OL;M;20;17
DS;F;48;123
NL;M;33;189
DM;F;30;17
DM;M;38;50
DS;M;53;126
DM;F;33;44
PF;M;15;8
DM;M;38;44
PP;F;22;13
DM;M;37;39
DS;F;52;115
DO;M;35;38
DS;M;51;138
NL;F;33;179
DS;M;52;105
DM;F;35;43
PP;M;19;14
DM;M;35;32
DM;F;36;36
DM;M;38;40
DM;M;37;36
PM;M;20;19
DS;F;47;139
OL;M;20;20
DS;F;52;108
OT;M;19;12
DM;F;37;39
NL;F;32;149
DM;F;38;43
DM;M;38;48
DM;F;36;33
DS;M;52;165
DM;F;37;41
DS;M;49;112
DM;F;36;35
DS;F;50;100
DM;F;34;34
DS;F;48;88
DM;F;36;31
DS;F;49;123
PF;F;16;6
DS;M;53;137
NL;M;34;199
DS;M;48;96
DM;F;34;41
NL;F;31;196
DS;M;51;100
DM;M;37;40
DS;F;49;98
DM;F;37;34
OL;F;21;29
DM;F;33;36
DM;M;35;36
DM;M;38;49
DM;M;35;30
DS;F;48;83
PP;F;21;14
DS;F;50;88
DM;F;37;47
DM;F;36;43
DS;F;51;136
DS;F;47;82
DS;M;51;70
DS;F;50;119
DS;F;51;115
OL;F;21;33
DM;M;37;46
DS;M;51;107
DS;M;51;126
PP;M;23;19
PE;F;30;24
DM;F;35;45
DS;F;52;122
DM;F;37;39
DM;F;35;31
DM;M;36;30
DS;F;51;124
DO;M;35;54
DS;F;51;133
DS;F;51;122
PF;M;16;7
DM;M;39;52
DM;M;39;49
PF;M;16;8
PE;M;21;19
DM;M;38;43
NL;F;31;181
PP;F;22;14
OT;M;20;24
DS;F;50;128
DS;M;51;136
DS;F;50;100
DM;F;34;44
PP;M;22;13
DM;F;36;40
DM;M;38;41
PF;M;16;6
DS;M;51;127
PF;M;15;7
OL;M;21;24
DS;F;49;134
OT;F;20;20
PP;M;22;15
DS;F;50;125
DS;F;50;100
PE;F;20;13
DM;M;34;37
DM;F;35;40
DS;F;47;114
DS;F;52;110
DM;M;38;41
PF;M;15;8
DM;M;38;47
NL;F;34;141
DM;F;38;46
DM;F;36;40
OL;M;21;36
DS;M;52;107
DM;F;37;39
OT;M;21;27
PP;F;21;13
DM;M;36;47
DS;F;48;134
NL;M;32;197
DM;F;36;39
DS;F;48;86
PP;F;20;15
PF;F;16;6
DS;M;53;158
DS;M;51;118
DS;F;48;123
DM;F;38;41
DM;F;35;49
DS;M;51;124
DM;F;36;42
DS;F;51;106
PF;F;17;7
DM;M;35;38
DM;F;38;47
DS;F;49;114
DS;M;52;140
PF;F;16;6
PE;F;20;20
DO;M;33;45
NL;M;32;118
OT;F;20;28
DS;F;48;112
OT;M;19;20
DM;F;36;47
DM;F;37;38
DS;F;47;77
DS;F;51;126
PP;M;21;19
PE;F;18;16
DS;F;52;138
DS;F;52;125
DS;F;51;106
DM;M;34;43
DM;F;37;38
PE;M;20;17
DM;F;36;37
DS;F;47;120
DM;F;34;38
DS;M;50;125
DM;F;36;51
DM;F;36;41
OT;M;20;18
DM;F;34;45
OL;M;20;30
DS;F;50;118
DS;M;50;108
OL;M;20;30
DM;M;37;45
PP;F;21;15
DM;F;35;35
DO;M;36;50
DM;F;37;41
DS;F;51;112
DM;F;37;41
DS;F;50;129
DS;M;52;131
DO;M;34;45
DM;F;35;41
DM;M;36;40
DS;M;52;134
DS;M;50;132
DM;F;37;42
DS;F;50;121
DS;F;51;120
DS;F;50;98
DS;F;50;124
DM;M;38;48
DS;F;49;118
DM;M;37;37
DS;F;50;99
PF;F;15;6
DM;M;38;38
DM;F;35;41
DM;F;36;35
PF;M;15;6
DM;F;35;36
OT;F;21;20
OT;M;20;19
DM;F;36;37
PF;F;15;7
DS;M;52;131
DM;F;37;37
DS;M;48;113
DS;M;49;112
DS;F;50;121
DS;M;53;149
DS;F;52;110
PP;F;21;16
DM;M;37;38
DM;F;36;39
DS;M;53;115
PF;F;15;7
DS;F;51;135
PP;M;23;20
DS;F;48;102
PP;M;21;16
DM;M;38;45
PF;F;16;6
OT;F;20;25
DM;F;38;42
DM;F;36;46
DS;F;48;106
OL;F;20;24
PF;F;15;7
DS;F;51;120
DM;F;37;37
OT;M;20;25
OL;M;20;34
DM;M;36;45
DM;M;36;39
DM;M;35;42
DM;F;36;37
DS;F;50;120
DS;F;50;116
PF;M;15;6
DS;F;49;124
DM;F;36;39
DS;F;47;125
OT;F;20;23
DM;F;37;38
DM;M;36;32
DM;F;33;40
DO;M;35;54
OL;M;20;33
DS;F;50;126
DS;M;48;136
OL;F;20;28
DM;F;35;37
DM;F;35;39
DM;F;35;42
DO;F;32;45
DM;F;33;39
OT;M;20;21
OT;F;21;22
DS;M;52;130
DS;F;50;101
DO;F;31;45
DS;F;49;129
DM;M;37;45
PF;F;15;6
DM;M;37;45
DS;M;50;130
DM;M;37;39
DS;F;46;108
OL;F;20;28
DM;M;39;49
DM;M;38;39
SH;M;29;89
OT;F;20;24
DM;M;35;43
DM;F;36;36
DM;F;36;41
DM;F;39;40
OT;M;20;21
DM;F;34;37
DM;F;35;36
DS;F;50;111
DM;M;37;45
DS;M;52;132
DS;F;48;107
DS;M;50;119
DS;F;51;121
DS;M;49;111
OL;M;20;37
DM;M;37;37
OL;M;20;26
DM;M;35;38
DS;F;47;105
DM;M;36;41
DM;F;36;38
OT;F;20;22
DS;F;46;121
DM;F;36;38
NL;M;32;153
DM;F;36;43
PE;M;20;22
DM;F;37;40
DM;F;38;41
DM;F;37;37
OT;F;20;23
OT;M;20;28
OL;F;21;28
RM;M;17;8
OL;M;21;34
OL;F;21;29
OL;M;20;28
DM;F;36;37
DS;F;51;128
DM;F;34;40
DM;M;38;44
DM;F;36;37
DS;F;47;119
DM;M;35;39
NL;M;32;223
OL;M;21;33
DM;F;34;38
OT;F;20;25
RM;F;17;7
OL;F;21;32
DM;F;36;41
DS;M;51;136
DM;M;38;46
DS;F;49;101
DO;M;33;52
DS;F;49;122
DS;F;50;118
DS;F;51;116
OL;F;21;30
DO;F;33;44
OL;M;21;44
OL;M;20;27
DS;F;51;132
DM;M;37;42
NL;F;31;181
DM;M;38;40
DM;M;38;38
DM;M;37;42
OL;M;21;32
DM;M;38;46
DS;F;47;120
DS;F;52;113
DM;F;38;42
DM;F;36;44
DM;F;36;37
DS;M;47;126
DS;F;51;124
DS;F;50;111
DM;M;36;42
DM;M;38;38
DS;M;51;118
OL;F;21;29
OT;F;20;23
DM;F;37;40
DM;F;38;43
DM;F;35;38
DS;M;51;142
DM;M;38;45
DM;M;36;49
DS;F;47;111
OT;M;20;28
OL;F;22;38
OL;M;21;32
OL;M;22;36
OT;F;22;26
OT;M;20;21
DM;M;38;45
DM;F;37;37
DS;F;48;128
DM;F;37;42
DM;M;36;37
DM;F;36;48
DM;M;36;45
DM;F;34;42
DO;M;34;52
OL;M;19;35
DM;M;39;50
OL;M;19;46
DM;F;36;43
DM;M;38;47
OL;M;21;35
DM;M;37;43
OL;F;19;31
DM;F;38;42
DM;M;38;45
DM;F;34;42
OL;F;20;40
OL;M;21;37
DM;M;36;50
DM;M;36;47
DM;F;36;44
OL;F;21;32
DM;M;37;48
DS;F;52;123
OL;M;21;36
DS;M;52;109
DM;M;35;46
DM;M;36;44
DS;F;52;127
DO;F;34;48
DS;F;50;125
DM;M;36;42
DM;M;37;45
DM;M;36;47
DS;F;50;124
DS;F;50;131
DM;F;37;44
OT;M;21;26
OL;F;20;30
DS;M;52;142
DM;F;36;43
DS;M;52;139
OT;F;20;30
DM;M;38;43
DS;F;52;132
PM;F;19;26
DM;M;37;48
DS;F;50;119
DS;M;51;137
PM;F;19;24
DS;M;49;130
DS;M;51;60
DS;F;51;127
DM;F;35;44
OL;F;22;35
DM;M;35;46
OL;M;21;34
DM;F;35;39
DM;M;36;40
DM;M;38;44
DM;F;37;43
OL;F;22;39
PM;M;21;26
DS;M;51;86
DM;F;34;23
DS;F;48;82
DM;F;36;37
PE;M;20;23
DM;M;36;54
DM;M;36;53
DM;M;37;50
DS;F;47;71
DS;M;54;142
DM;F;35;46
DS;M;51;71
DS;F;52;125
DS;F;47;73
PF;F;16;7
DO;F;32;29
PF;F;20;7
DS;M;51;141
DS;M;50;78
DM;F;37;49
DM;M;37;45
DS;F;52;144
DS;F;58;123
DS;M;50;141
DS;F;50;115
DS;M;52;140
DS;M;51;127
DM;M;37;54
DO;F;35;49
DM;F;36;46
DM;M;37;53
DS;F;48;129
DS;F;48;112
DS;F;48;71
DO;F;34;50
DO;M;35;54
DS;F;47;58
DM;M;37;55
DM;M;37;31
DM;M;38;46
DS;F;49;112
DS;M;51;129
DM;M;37;45
DM;M;39;47
DS;M;48;73
DS;F;48;75
DS;F;50;140
NL;F;31;86
DM;F;36;50
NL;F;32;239
DS;F;52;127
DS;M;51;144
DM;F;36;46
DS;F;50;71
DS;M;50;76
DS;F;44;51
DS;F;50;130
DS;M;50;143
DS;M;46;49
DS;F;49;124
DS;F;43;46
DM;M;37;34
DS;M;46;71
DS;F;48;119
PE;M;19;19
DS;F;52;143
DS;M;47;85
DS;F;47;63
DO;F;34;51
OT;M;18;28
NL;M;33;166
PP;F;21;15
DO;F;36;48
DS;M;46;67
PE;M;18;13
DS;M;52;143
OT;M;20;23
NL;F;30;126
DS;M;52;97
PM;M;22;18
DS;M;47;61
DM;M;39;43
DM;F;37;65
DS;M;50;99
DM;F;38;45
DS;F;47;135
DS;F;51;92
DS;M;49;95
DM;M;34;27
NL;M;32;101
DS;F;51;136
NL;M;27;66
DS;M;51;91
NL;M;30;72
DM;F;34;43
DS;M;49;96
DS;F;49;73
DM;F;37;47
PP;M;21;20
DM;M;37;43
DS;M;49;75
DS;F;48;76
DS;M;43;62
DS;F;49;114
DS;F;47;119
DS;F;44;63
NL;M;29;70
DS;M;49;147
DS;F;49;136
DS;F;47;60
DS;M;48;71
DS;M;50;63
DM;F;37;47
DS;F;50;135
NL;M;27;40
DM;M;37;46
DO;M;34;41
DS;F;45;47
DO;M;33;29
DS;M;47;66
DM;M;38;46
DS;F;52;147
DM;F;35;53
NL;M;32;184
OT;M;20;24
DM;M;32;19
DS;F;49;128
OT;F;18;15
DS;F;52;113
DM;F;33;20
DO;F;32;44
DS;M;50;114
DS;F;50;101
DO;M;35;40
DM;M;35;40
DS;F;47;112
DM;F;35;45
DM;M;32;21
DS;M;51;105
DS;M;51;140
DS;F;50;107
DS;F;51;123
DM;M;37;50
DS;M;51;132
DS;M;49;93
PP;M;22;20
DM;F;37;44
DM;M;36;36
DM;F;36;53
DM;M;37;45
DM;F;35;57
DS;M;51;105
OT;F;21;18
OT;M;20;27
PF;F;16;8
DS;F;48;116
DM;F;35;41
DS;M;50;120
PF;F;15;9
DS;F;46;96
DS;M;52;143
NL;F;30;94
DS;F;49;128
DS;M;50;91
DM;M;36;44
DO;M;33;38
DS;M;46;86
PF;F;15;7
PF;M;15;8
PE;F;20;27
DS;M;46;43
DM;F;33;32
DM;M;36;48
OL;F;19;21
DM;M;35;34
NL;M;32;206
DS;M;46;60
PP;F;22;14
DM;F;34;27
DM;F;35;50
DS;F;49;120
DS;M;46;59
DS;F;51;138
DS;F;50;95
DM;F;38;53
PP;F;20;16
DS;M;49;70
PP;M;20;10
DO;F;34;53
DS;M;50;79
DM;M;38;44
DM;M;35;41
PE;F;19;24
OT;F;20;27
DM;F;34;32
PF;M;17;10
DM;F;35;40
DS;M;51;141
DS;F;51;165
NL;F;30;116
PF;F;20;9
DS;F;47;78
PE;M;18;8
DS;F;50;80
OT;F;19;25
DM;M;37;45
DM;F;36;44
DS;M;51;99
NL;M;36;151
DS;F;50;133
OT;M;22;19
DM;M;35;31
DO;M;36;46
DS;M;51;108
DS;F;51;126
DS;M;51;145
DS;F;49;93
DS;M;51;98
DO;F;34;42
DS;F;49;125
PP;M;22;16
OL;F;21;36
OT;F;20;25
DS;M;49;108
PP;F;22;16
DM;F;34;44
PP;F;20;17
DM;F;36;44
OL;F;20;31
DM;M;35;40
OL;M;20;35
PP;F;21;11
PP;F;20;11
DS;F;48;59
DS;M;48;94
DS;M;50;68
DS;F;51;111
DM;F;34;23
OT;M;20;20
OL;F;20;45
DS;F;50;124
OT;F;21;17
DS;M;49;94
NL;F;30;136
DS;F;51;148
OL;F;20;24
OL;M;20;35
DM;F;36;41
DM;F;36;53
DS;M;52;132
DS;F;49;128
DM;M;35;46
DS;M;50;119
DS;F;48;125
OL;M;20;27
OT;M;18;27
NL;F;29;72
DM;M;34;35
DS;M;52;94
DM;M;37;45
OT;F;20;17
DS;M;51;106
PP;F;20;15
DO;M;34;45
DS;M;52;144
DM;M;35;47
DM;F;36;40
NL;F;30;105
DO;F;33;45
OT;M;20;28
OT;F;20;30
DS;M;48;93
DS;F;51;93
DS;M;49;124
DS;M;49;103
OT;F;21;27
DS;F;49;81
DM;F;35;48
DS;M;50;142
DM;M;35;53
DS;M;48;87
DS;M;50;144
DS;F;52;117
OT;M;21;20
OT;F;31;19
PP;F;20;14
DM;M;38;49
OT;F;19;18
OL;F;20;29
DM;M;37;47
PE;M;20;23
DS;M;53;131
OT;M;20;31
DM;M;37;35
DS;M;52;118
OT;M;19;20
NL;F;31;152
DS;M;50;138
DM;F;35;37
OT;F;20;21
DM;F;37;41
DM;M;36;50
OT;M;19;27
DS;F;52;153
DS;F;47;122
DS;F;47;106
DM;M;39;49
PE;F;19;24
OT;M;19;19
PP;F;22;14
DM;F;37;40
OL;F;19;34
OL;M;22;34
OL;F;20;46
DM;M;37;45
PP;F;20;16
OT;M;20;21
DM;F;36;49
OT;F;20;23
PF;F;16;7
OL;F;20;40
DM;F;36;46
OT;F;20;29
DS;F;50;119
DS;M;47;129
OT;M;20;22
OT;M;19;24
DM;F;36;35
DM;F;35;46
PF;F;15;7
DS;F;50;124
DM;M;36;53
DM;F;37;46
DM;F;36;43
OT;F;21;25
OL;F;19;31
DS;M;53;120
OT;F;20;26
DM;M;37;51
PP;F;22;14
DO;M;33;26
DO;M;35;52
DS;M;49;137
NL;F;32;92
DO;M;36;50
DS;F;51;151
NL;F;32;211
DO;F;33;47
DM;F;32;45
PP;M;21;16
DM;M;38;46
DM;F;33;40
DS;F;50;145
DM;M;37;43
OL;F;21;25
DM;F;34;28
DM;M;35;29
PE;M;19;19
DS;M;50;143
DS;M;51;156
DS;M;51;123
OT;F;20;27
DS;F;51;120
DS;F;50;123
PE;M;21;24
OT;F;21;21
DM;M;37;45
NL;M;32;133
OL;M;21;27
OT;M;22;22
DO;M;34;49
DS;F;47;102
NL;M;32;171
OT;M;19;18
OT;M;21;19
OL;F;21;32
DS;F;52;122
OL;M;22;36
DS;F;52;133
PE;M;18;19
PF;M;20;7
DS;M;48;130
OT;F;21;23
OT;F;20;19
DM;F;35;35
DM;F;37;49
DM;M;38;50
DS;M;52;135
DS;F;50;126
PP;F;21;16
DM;F;35;49
OT;F;21;26
DM;M;36;47
DM;F;37;47
OT;M;20;23
NL;F;33;274
DS;M;49;127
RM;M;14;7
OT;F;19;21
DM;M;35;49
PE;F;19;24
DM;F;33;30
OT;M;18;20
DM;M;36;40
OT;M;21;22
DM;F;36;49
OT;F;20;22
PF;M;14;6
PE;M;19;17
DM;M;36;48
RM;M;13;7
OT;F;20;22
DM;M;34;26
OT;F;20;23
RM;F;14;9
OL;M;21;31
OT;M;20;23
OT;F;20;21
OT;F;21;24
DS;F;50;124
DM;M;36;50
DS;M;51;130
DS;M;48;136
OL;F;21;34
PF;M;14;7
DM;F;35;30
